Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
    United Arab Emirates,"2,017","16,704",Commercial personal and clerical,,,,,
    United Arab Emirates,"2,017","47,719",Labourers production and service workers,,,,,
    United Arab Emirates,"2,017",10,Agricultural workers,,,,,
    United Arab Emirates,"2,017","1,114",Government,,,,,
    United Arab Emirates,"2,017","11,044",House wife,,,,,
    United Arab Emirates,"2,017","60,935",Students,,,,,
    United Arab Emirates,"2,017","5,138",Retired,,,,,
    United Arab Emirates,"2,017",92,Others,,,,,
    United Arab Emirates,"2,017",24,Not stated,,,,,
    Others in Middle East,"2,017","357,518",Total,,,,,
    Others in Middle East,"2,017","85,409",Professional,,,,,
    Others in Middle East,"2,017","38,326",Administrative and managerial,,,,,
    Others in Middle East,"2,017","41,459",Commercial personal and clerical,,,,,
    Others in Middle East,"2,017","80,422",Labourers production and service workers,,,,,
    Others in Middle East,"2,017",564,Agricultural workers,,,,,
    Others in Middle East,"2,017","2,553",Government,,,,,
    Others in Middle East,"2,017","14,240",House wife,,,,,
    Others in Middle East,"2,017","82,497",Students,,,,,
    Others in Middle East,"2,017","11,811",Retired,,,,,
    Others in Middle East,"2,017",232,Others,,,,,
    Others in Middle East,"2,017",5,Not stated,,,,,
 South Africa,"2,017","91,182",Total,,,,,
 South Africa,"2,017","30,927",Professional,,,,,
 South Africa,"2,017","20,170",Administrative and managerial,,,,,
 South Africa,"2,017","8,186",Commercial personal and clerical,,,,,
 South Africa,"2,017","12,452",Labourers production and service workers,,,,,
 South Africa,"2,017",355,Agricultural workers,,,,,
 South Africa,"2,017",236,Government,,,,,
 South Africa,"2,017","1,790",House wife,,,,,
 South Africa,"2,017","12,552",Students,,,,,
 South Africa,"2,017","4,508",Retired,,,,,
 South Africa,"2,017",5,Others,,,,,
 South Africa,"2,017",1,Not stated,,,,,
    Others in Africa,"2,017","101,112",Total,,,,,
    Others in Africa,"2,017","25,410",Professional,,,,,
    Others in Africa,"2,017","13,100",Administrative and managerial,,,,,
    Others in Africa,"2,017","19,661",Commercial personal and clerical,,,,,
    Others in Africa,"2,017","16,582",Labourers production and service workers,,,,,
    Others in Africa,"2,017",248,Agricultural workers,,,,,
    Others in Africa,"2,017","1,204",Government,,,,,
    Others in Africa,"2,017","2,863",House wife,,,,,
    Others in Africa,"2,017","18,107",Students,,,,,
    Others in Africa,"2,017","3,907",Retired,,,,,
    Others in Africa,"2,017",24,Others,,,,,
    Others in Africa,"2,017",6,Not stated,,,,,
        Brunai,"2,018","18,460",Total,,,,,
        Brunai,"2,018","4,721",Professional,,,,,
        Brunai,"2,018","1,978",Administrative and managerial,,,,,
        Brunai,"2,018","2,137",Commercial personal and clerical,,,,,
        Brunai,"2,018","4,116",Labourers production and service workers,,,,,
        Brunai,"2,018",7,Agricultural workers,,,,,
        Brunai,"2,018",433,Government,,,,,
        Brunai,"2,018","1,019",House wife,,,,,
        Brunai,"2,018","3,263",Students,,,,,
        Brunai,"2,018",777,Retired,,,,,
        Brunai,"2,018",4,Others,,,,,
        Brunai,"2,018",5,Not stated,,,,,
        Cambodia,"2,018","950,980",Total,,,,,
        Cambodia,"2,018","80,630",Professional,,,,,
        Cambodia,"2,018","33,523",Administrative and managerial,,,,,
        Cambodia,"2,018","110,906",Commercial personal and clerical,,,,,
        Cambodia,"2,018","351,889",Labourers production and service workers,,,,,
        Cambodia,"2,018","99,190",Agricultural workers,,,,,
        Cambodia,"2,018","7,831",Government,,,,,
        Cambodia,"2,018","92,662",House wife,,,,,
        Cambodia,"2,018","144,285",Students,,,,,
        Cambodia,"2,018","30,057",Retired,,,,,
        Cambodia,"2,018",3,Others,,,,,
        Cambodia,"2,018",4,Not stated,,,,,
        Indonesia,"2,018","644,479",Total,,,,,
        Indonesia,"2,018","94,804",Professional,,,,,
        Indonesia,"2,018","49,392",Administrative and managerial,,,,,
        Indonesia,"2,018","56,896",Commercial personal and clerical,,,,,
        Indonesia,"2,018","218,066",Labourers production and service workers,,,,,
        Indonesia,"2,018",556,Agricultural workers,,,,,
        Indonesia,"2,018","6,612",Government,,,,,
        Indonesia,"2,018","84,427",House wife,,,,,
        Indonesia,"2,018","123,562",Students,,,,,
        Indonesia,"2,018","9,980",Retired,,,,,
        Indonesia,"2,018",171,Others,,,,,
        Indonesia,"2,018",13,Not stated,,,,,
        Laos,"2,018","1,682,304",Total,,,,,
        Laos,"2,018","231,012",Professional,,,,,
        Laos,"2,018","85,069",Administrative and managerial,,,,,
        Laos,"2,018","85,221",Commercial personal and clerical,,,,,
        Laos,"2,018","773,248",Labourers production and service workers,,,,,
        Laos,"2,018","75,252",Agricultural workers,,,,,
        Laos,"2,018","2,668",Government,,,,,
        Laos,"2,018","81,895",House wife,,,,,
        Laos,"2,018","285,918",Students,,,,,
        Laos,"2,018","61,971",Retired,,,,,
        Laos,"2,018",44,Others,,,,,
        Laos,"2,018",6,Not stated,,,,,
        Malaysia,"2,018","4,042,998",Total,,,,,
        Malaysia,"2,018","815,311",Professional,,,,,
        Malaysia,"2,018","821,308",Administrative and managerial,,,,,
        Malaysia,"2,018","493,103",Commercial personal and clerical,,,,,
        Malaysia,"2,018","539,539",Labourers production and service workers,,,,,
        Malaysia,"2,018","3,068",Agricultural workers,,,,,
        Malaysia,"2,018","4,525",Government,,,,,
        Malaysia,"2,018","634,217",House wife,,,,,
        Malaysia,"2,018","659,993",Students,,,,,
        Malaysia,"2,018","71,792",Retired,,,,,
        Malaysia,"2,018",134,Others,,,,,
        Malaysia,"2,018",8,Not stated,,,,,
        Myanmar,"2,018","379,880",Total,,,,,
        Myanmar,"2,018","71,973",Professional,,,,,
        Myanmar,"2,018","28,698",Administrative and managerial,,,,,
        Myanmar,"2,018","82,233",Commercial personal and clerical,,,,,
        Myanmar,"2,018","96,833",Labourers production and service workers,,,,,
        Myanmar,"2,018","1,537",Agricultural workers,,,,,
        Myanmar,"2,018",771,Government,,,,,
        Myanmar,"2,018","8,429",House wife,,,,,
        Myanmar,"2,018","78,684",Students,,,,,
        Myanmar,"2,018","10,692",Retired,,,,,
        Myanmar,"2,018",24,Others,,,,,
        Myanmar,"2,018",6,Not stated,,,,,
        Philippines,"2,018","407,832",Total,,,,,
        Philippines,"2,018","103,353",Professional,,,,,
        Philippines,"2,018","44,334",Administrative and managerial,,,,,
        Philippines,"2,018","55,836",Commercial personal and clerical,,,,,
        Philippines,"2,018","126,736",Labourers production and service workers,,,,,
        Philippines,"2,018",873,Agricultural workers,,,,,
        Philippines,"2,018","2,216",Government,,,,,
        Philippines,"2,018","16,679",House wife,,,,,
        Philippines,"2,018","40,703",Students,,,,,
        Philippines,"2,018","17,070",Retired,,,,,
        Philippines,"2,018",17,Others,,,,,
        Philippines,"2,018",15,Not stated,,,,,
        Singapore,"2,018","1,168,112",Total,,,,,
        Singapore,"2,018","316,877",Professional,,,,,
        Singapore,"2,018","210,933",Administrative and managerial,,,,,
        Singapore,"2,018","135,914",Commercial personal and clerical,,,,,
        Singapore,"2,018","201,077",Labourers production and service workers,,,,,
        Singapore,"2,018",311,Agricultural workers,,,,,
        Singapore,"2,018","11,307",Government,,,,,
        Singapore,"2,018","65,361",House wife,,,,,
        Singapore,"2,018","184,841",Students,,,,,
        Singapore,"2,018","41,227",Retired,,,,,
        Singapore,"2,018",222,Others,,,,,
        Singapore,"2,018",42,Not stated,,,,,
        Vietnam,"2,018","1,053,723",Total,,,,,
        Vietnam,"2,018","136,026",Professional,,,,,
        Vietnam,"2,018","65,323",Administrative and managerial,,,,,
        Vietnam,"2,018","179,274",Commercial personal and clerical,,,,,
        Vietnam,"2,018","420,077",Labourers production and service workers,,,,,
        Vietnam,"2,018","11,302",Agricultural workers,,,,,
        Vietnam,"2,018","2,076",Government,,,,,
        Vietnam,"2,018","19,542",House wife,,,,,
        Vietnam,"2,018","184,460",Students,,,,,
        Vietnam,"2,018","35,426",Retired,,,,,
        Vietnam,"2,018",210,Others,,,,,
        Vietnam,"2,018",7,Not stated,,,,,
    China,"2,018","10,625,167",Total,,,,,
    China,"2,018","1,189,997",Professional,,,,,
    China,"2,018","631,457",Administrative and managerial,,,,,
    China,"2,018","764,390",Commercial personal and clerical,,,,,
    China,"2,018","6,190,811",Labourers production and service workers,,,,,
    China,"2,018","14,742",Agricultural workers,,,,,
    China,"2,018","19,441",Government,,,,,
    China,"2,018","81,189",House wife,,,,,
    China,"2,018","1,336,571",Students,,,,,
    China,"2,018","376,828",Retired,,,,,
    China,"2,018","19,480",Others,,,,,
    China,"2,018",261,Not stated,,,,,
    Hong Kong,"2,018","1,047,559",Total,,,,,
    Hong Kong,"2,018","177,013",Professional,,,,,
    Hong Kong,"2,018","105,578",Administrative and managerial,,,,,
    Hong Kong,"2,018","223,591",Commercial personal and clerical,,,,,
    Hong Kong,"2,018","225,131",Labourers production and service workers,,,,,
    Hong Kong,"2,018",509,Agricultural workers,,,,,
    Hong Kong,"2,018","8,276",Government,,,,,
    Hong Kong,"2,018","85,630",House wife,,,,,
    Hong Kong,"2,018","163,638",Students,,,,,
    Hong Kong,"2,018","58,007",Retired,,,,,
    Hong Kong,"2,018",181,Others,,,,,
    Hong Kong,"2,018",5,Not stated,,,,,
    Japan,"2,018","1,642,712",Total,,,,,
    Japan,"2,018","195,921",Professional,,,,,
    Japan,"2,018","87,806",Administrative and managerial,,,,,
    Japan,"2,018","187,604",Commercial personal and clerical,,,,,
    Japan,"2,018","825,824",Labourers production and service workers,,,,,
    Japan,"2,018","4,643",Agricultural workers,,,,,
    Japan,"2,018","5,655",Government,,,,,
    Japan,"2,018","72,387",House wife,,,,,
    Japan,"2,018","208,098",Students,,,,,
    Japan,"2,018","54,419",Retired,,,,,
    Japan,"2,018",142,Others,,,,,
    Japan,"2,018",213,Not stated,,,,,
    Korea,"2,018","1,785,147",Total,,,,,
    Korea,"2,018","214,063",Professional,,,,,
    Korea,"2,018","57,336",Administrative and managerial,,,,,
    Korea,"2,018","323,726",Commercial personal and clerical,,,,,
    Korea,"2,018","654,697",Labourers production and service workers,,,,,
    Korea,"2,018","4,954",Agricultural workers,,,,,
    Korea,"2,018","5,193",Government,,,,,
    Korea,"2,018","183,225",House wife,,,,,
    Korea,"2,018","311,909",Students,,,,,
    Korea,"2,018","29,870",Retired,,,,,
    Korea,"2,018",113,Others,,,,,
    Korea,"2,018",61,Not stated,,,,,
    Taiwan,"2,018","674,172",Total,,,,,
    Taiwan,"2,018","114,857",Professional,,,,,
    Taiwan,"2,018","36,896",Administrative and managerial,,,,,
    Taiwan,"2,018","171,703",Commercial personal and clerical,,,,,
    Taiwan,"2,018","194,226",Labourers production and service workers,,,,,
    Taiwan,"2,018",891,Agricultural workers,,,,,
    Taiwan,"2,018","1,539",Government,,,,,
    Taiwan,"2,018","23,937",House wife,,,,,
    Taiwan,"2,018","111,505",Students,,,,,
    Taiwan,"2,018","18,508",Retired,,,,,
    Taiwan,"2,018",102,Others,,,,,
    Taiwan,"2,018",8,Not stated,,,,,
    Others in East,"2,018","101,921",Total,,,,,
    Others in East,"2,018","17,476",Professional,,,,,
    Others in East,"2,018","8,419",Administrative and managerial,,,,,
    Others in East,"2,018","16,988",Commercial personal and clerical,,,,,
    Others in East,"2,018","27,917",Labourers production and service workers,,,,,
    Others in East,"2,018",66,Agricultural workers,,,,,
    Others in East,"2,018","1,390",Government,,,,,
    Others in East,"2,018","3,624",House wife,,,,,
    Others in East,"2,018","21,534",Students,,,,,
    Others in East,"2,018","4,483",Retired,,,,,
    Others in East,"2,018",15,Others,,,,,
    Others in East,"2,018",9,Not stated,,,,,
    Austria,"2,018","114,768",Total,,,,,
    Austria,"2,018","22,445",Professional,,,,,
    Austria,"2,018","11,360",Administrative and managerial,,,,,
    Austria,"2,018","8,724",Commercial personal and clerical,,,,,
    Austria,"2,018","41,100",Labourers production and service workers,,,,,
    Austria,"2,018",294,Agricultural workers,,,,,
    Austria,"2,018",330,Government,,,,,
    Austria,"2,018",783,House wife,,,,,
    Austria,"2,018","16,526",Students,,,,,
    Austria,"2,018","13,169",Retired,,,,,
    Austria,"2,018",32,Others,,,,,
    Austria,"2,018",5,Not stated,,,,,
    Belgium,"2,018","116,346",Total,,,,,
    Belgium,"2,018","24,381",Professional,,,,,
    Belgium,"2,018","9,547",Administrative and managerial,,,,,
    Belgium,"2,018","7,827",Commercial personal and clerical,,,,,
    Belgium,"2,018","42,715",Labourers production and service workers,,,,,
    Belgium,"2,018",106,Agricultural workers,,,,,
    Belgium,"2,018",870,Government,,,,,
    Belgium,"2,018",983,House wife,,,,,
    Belgium,"2,018","18,221",Students,,,,,
    Belgium,"2,018","11,667",Retired,,,,,
    Belgium,"2,018",26,Others,,,,,
    Belgium,"2,018",3,Not stated,,,,,
    Denmark,"2,018","170,044",Total,,,,,
    Denmark,"2,018","34,163",Professional,,,,,
    Denmark,"2,018","15,987",Administrative and managerial,,,,,
    Denmark,"2,018","11,645",Commercial personal and clerical,,,,,
    Denmark,"2,018","46,392",Labourers production and service workers,,,,,
    Denmark,"2,018",526,Agricultural workers,,,,,
    Denmark,"2,018",288,Government,,,,,
    Denmark,"2,018",928,House wife,,,,,
    Denmark,"2,018","42,010",Students,,,,,
    Denmark,"2,018","18,077",Retired,,,,,
    Denmark,"2,018",21,Others,,,,,
    Denmark,"2,018",7,Not stated,,,,,
    Finland,"2,018","135,384",Total,,,,,
    Finland,"2,018","26,545",Professional,,,,,
    Finland,"2,018","15,930",Administrative and managerial,,,,,
    Finland,"2,018","11,230",Commercial personal and clerical,,,,,
    Finland,"2,018","42,635",Labourers production and service workers,,,,,
    Finland,"2,018",568,Agricultural workers,,,,,
    Finland,"2,018",259,Government,,,,,
    Finland,"2,018",618,House wife,,,,,
    Finland,"2,018","27,765",Students,,,,,
    Finland,"2,018","9,808",Retired,,,,,
    Finland,"2,018",2,Others,,,,,
    Finland,"2,018",24,Not stated,,,,,
    France,"2,018","724,350",Total,,,,,
    France,"2,018","151,803",Professional,,,,,
    France,"2,018","66,490",Administrative and managerial,,,,,
    France,"2,018","57,470",Commercial personal and clerical,,,,,
    France,"2,018","238,177",Labourers production and service workers,,,,,
    France,"2,018","1,657",Agricultural workers,,,,,
    France,"2,018","1,923",Government,,,,,
    France,"2,018","3,652",House wife,,,,,
    France,"2,018","116,809",Students,,,,,
    France,"2,018","86,168",Retired,,,,,
    France,"2,018",112,Others,,,,,
    France,"2,018",89,Not stated,,,,,
    Germany,"2,018","872,185",Total,,,,,
    Germany,"2,018","189,551",Professional,,,,,
    Germany,"2,018","93,646",Administrative and managerial,,,,,
    Germany,"2,018","68,655",Commercial personal and clerical,,,,,
    Germany,"2,018","304,224",Labourers production and service workers,,,,,
    Germany,"2,018","1,744",Agricultural workers,,,,,
    Germany,"2,018","2,327",Government,,,,,
    Germany,"2,018","8,854",House wife,,,,,
    Germany,"2,018","141,192",Students,,,,,
    Germany,"2,018","61,726",Retired,,,,,
    Germany,"2,018",33,Others,,,,,
    Germany,"2,018",233,Not stated,,,,,
    Ireland,"2,018","58,677",Total,,,,,
    Ireland,"2,018","18,432",Professional,,,,,
    Ireland,"2,018","5,865",Administrative and managerial,,,,,
    Ireland,"2,018","4,884",Commercial personal and clerical,,,,,
    Ireland,"2,018","15,412",Labourers production and service workers,,,,,
    Ireland,"2,018",345,Agricultural workers,,,,,
    Ireland,"2,018",364,Government,,,,,
    Ireland,"2,018","1,057",House wife,,,,,
    Ireland,"2,018","8,543",Students,,,,,
    Ireland,"2,018","3,732",Retired,,,,,
    Ireland,"2,018",13,Others,,,,,
    Ireland,"2,018",30,Not stated,,,,,
    Italy,"2,018","263,515",Total,,,,,
    Italy,"2,018","57,856",Professional,,,,,
    Italy,"2,018","23,614",Administrative and managerial,,,,,
    Italy,"2,018","20,551",Commercial personal and clerical,,,,,
    Italy,"2,018","106,663",Labourers production and service workers,,,,,
    Italy,"2,018",714,Agricultural workers,,,,,
    Italy,"2,018",788,Government,,,,,
    Italy,"2,018","2,596",House wife,,,,,
    Italy,"2,018","32,154",Students,,,,,
    Italy,"2,018","18,478",Retired,,,,,
    Italy,"2,018",54,Others,,,,,
    Italy,"2,018",47,Not stated,,,,,
    Netherlands,"2,018","226,618",Total,,,,,
    Netherlands,"2,018","51,658",Professional,,,,,
    Netherlands,"2,018","28,642",Administrative and managerial,,,,,
    Netherlands,"2,018","15,986",Commercial personal and clerical,,,,,
    Netherlands,"2,018","65,090",Labourers production and service workers,,,,,
    Netherlands,"2,018",304,Agricultural workers,,,,,
    Netherlands,"2,018","1,397",Government,,,,,
    Netherlands,"2,018","2,759",House wife,,,,,
    Netherlands,"2,018","43,661",Students,,,,,
    Netherlands,"2,018","17,077",Retired,,,,,
    Netherlands,"2,018",32,Others,,,,,
    Netherlands,"2,018",12,Not stated,,,,,
    Norway,"2,018","133,020",Total,,,,,
    Norway,"2,018","27,847",Professional,,,,,
    Norway,"2,018","12,031",Administrative and managerial,,,,,
    Norway,"2,018","9,518",Commercial personal and clerical,,,,,
    Norway,"2,018","40,314",Labourers production and service workers,,,,,
    Norway,"2,018",553,Agricultural workers,,,,,
    Norway,"2,018",289,Government,,,,,
    Norway,"2,018",867,House wife,,,,,
    Norway,"2,018","24,989",Students,,,,,
    Norway,"2,018","16,581",Retired,,,,,
    Norway,"2,018",9,Others,,,,,
    Norway,"2,018",22,Not stated,,,,,
    Russian,"2,018","1,466,457",Total,,,,,
    Russian,"2,018","287,480",Professional,,,,,
    Russian,"2,018","354,126",Administrative and managerial,,,,,
    Russian,"2,018","113,646",Commercial personal and clerical,,,,,
    Russian,"2,018","380,298",Labourers production and service workers,,,,,
    Russian,"2,018","1,133",Agricultural workers,,,,,
    Russian,"2,018",953,Government,,,,,
    Russian,"2,018","18,673",House wife,,,,,
    Russian,"2,018","270,847",Students,,,,,
    Russian,"2,018","38,943",Retired,,,,,
    Russian,"2,018",322,Others,,,,,
    Russian,"2,018",36,Not stated,,,,,
    Spain,"2,018","176,597",Total,,,,,
    Spain,"2,018","60,500",Professional,,,,,
    Spain,"2,018","18,050",Administrative and managerial,,,,,
    Spain,"2,018","15,348",Commercial personal and clerical,,,,,
    Spain,"2,018","52,336",Labourers production and service workers,,,,,
    Spain,"2,018",394,Agricultural workers,,,,,
    Spain,"2,018",885,Government,,,,,
    Spain,"2,018",886,House wife,,,,,
    Spain,"2,018","21,848",Students,,,,,
    Spain,"2,018","6,320",Retired,,,,,
    Spain,"2,018",25,Others,,,,,
    Spain,"2,018",5,Not stated,,,,,
    Sweden,"2,018","304,206",Total,,,,,
    Sweden,"2,018","61,214",Professional,,,,,
    Sweden,"2,018","28,044",Administrative and managerial,,,,,
    Sweden,"2,018","21,353",Commercial personal and clerical,,,,,
    Sweden,"2,018","99,150",Labourers production and service workers,,,,,
    Sweden,"2,018",993,Agricultural workers,,,,,
    Sweden,"2,018",507,Government,,,,,
    Sweden,"2,018","1,215",House wife,,,,,
    Sweden,"2,018","59,254",Students,,,,,
    Sweden,"2,018","32,384",Retired,,,,,
    Sweden,"2,018",62,Others,,,,,
    Sweden,"2,018",30,Not stated,,,,,
    Switzerland,"2,018","225,985",Total,,,,,
    Switzerland,"2,018","54,758",Professional,,,,,
    Switzerland,"2,018","25,856",Administrative and managerial,,,,,
    Switzerland,"2,018","19,323",Commercial personal and clerical,,,,,
    Switzerland,"2,018","68,323",Labourers production and service workers,,,,,
    Switzerland,"2,018",706,Agricultural workers,,,,,
    Switzerland,"2,018",378,Government,,,,,
    Switzerland,"2,018","3,564",House wife,,,,,
    Switzerland,"2,018","32,280",Students,,,,,
    Switzerland,"2,018","20,758",Retired,,,,,
    Switzerland,"2,018",30,Others,,,,,
    Switzerland,"2,018",9,Not stated,,,,,
    United Kingdom,"2,018","954,404",Total,,,,,
    United Kingdom,"2,018","282,600",Professional,,,,,
    United Kingdom,"2,018","118,598",Administrative and managerial,,,,,
    United Kingdom,"2,018","68,475",Commercial personal and clerical,,,,,
    United Kingdom,"2,018","231,989",Labourers production and service workers,,,,,
    United Kingdom,"2,018","1,766",Agricultural workers,,,,,
    United Kingdom,"2,018","6,294",Government,,,,,
    United Kingdom,"2,018","16,355",House wife,,,,,
    United Kingdom,"2,018","114,455",Students,,,,,
    United Kingdom,"2,018","113,466",Retired,,,,,
    United Kingdom,"2,018",300,Others,,,,,
    United Kingdom,"2,018",106,Not stated,,,,,
    East Europe,"2,018","487,669",Total,,,,,
    East Europe,"2,018","130,479",Professional,,,,,
    East Europe,"2,018","90,312",Administrative and managerial,,,,,
    East Europe,"2,018","47,232",Commercial personal and clerical,,,,,
    East Europe,"2,018","127,163",Labourers production and service workers,,,,,
    East Europe,"2,018",987,Agricultural workers,,,,,
    East Europe,"2,018",978,Government,,,,,
    East Europe,"2,018","5,443",House wife,,,,,
    East Europe,"2,018","70,628",Students,,,,,
    East Europe,"2,018","14,257",Retired,,,,,
    East Europe,"2,018",170,Others,,,,,
    East Europe,"2,018",20,Not stated,,,,,
    Others in Europe,"2,018","173,470",Total,,,,,
    Others in Europe,"2,018","55,810",Professional,,,,,
    Others in Europe,"2,018","19,773",Administrative and managerial,,,,,
    Others in Europe,"2,018","18,010",Commercial personal and clerical,,,,,
    Others in Europe,"2,018","47,496",Labourers production and service workers,,,,,
    Others in Europe,"2,018",412,Agricultural workers,,,,,
    Others in Europe,"2,018",881,Government,,,,,
    Others in Europe,"2,018","2,380",House wife,,,,,
    Others in Europe,"2,018","19,794",Students,,,,,
    Others in Europe,"2,018","8,816",Retired,,,,,
    Others in Europe,"2,018",91,Others,,,,,
    Others in Europe,"2,018",7,Not stated,,,,,
    Argentina,"2,018","43,485",Total,,,,,
    Argentina,"2,018","14,491",Professional,,,,,
    Argentina,"2,018","2,733",Administrative and managerial,,,,,
    Argentina,"2,018","3,164",Commercial personal and clerical,,,,,
    Argentina,"2,018","15,096",Labourers production and service workers,,,,,
    Argentina,"2,018",54,Agricultural workers,,,,,
    Argentina,"2,018",79,Government,,,,,
    Argentina,"2,018",339,House wife,,,,,
    Argentina,"2,018","6,530",Students,,,,,
    Argentina,"2,018",990,Retired,,,,,
    Argentina,"2,018",2,Others,,,,,
    Argentina,"2,018",7,Not stated,,,,,
    Brazil,"2,018","57,105",Total,,,,,
    Brazil,"2,018","24,212",Professional,,,,,
    Brazil,"2,018","6,056",Administrative and managerial,,,,,
    Brazil,"2,018","5,623",Commercial personal and clerical,,,,,
    Brazil,"2,018","10,862",Labourers production and service workers,,,,,
    Brazil,"2,018",96,Agricultural workers,,,,,
    Brazil,"2,018",859,Government,,,,,
    Brazil,"2,018",475,House wife,,,,,
    Brazil,"2,018","6,798",Students,,,,,
    Brazil,"2,018","2,104",Retired,,,,,
    Brazil,"2,018",8,Others,,,,,
    Brazil,"2,018",12,Not stated,,,,,
    Canada,"2,018","252,763",Total,,,,,
    Canada,"2,018","62,898",Professional,,,,,
    Canada,"2,018","24,815",Administrative and managerial,,,,,
    Canada,"2,018","24,422",Commercial personal and clerical,,,,,
    Canada,"2,018","60,629",Labourers production and service workers,,,,,
    Canada,"2,018",352,Agricultural workers,,,,,
    Canada,"2,018","1,276",Government,,,,,
    Canada,"2,018","4,724",House wife,,,,,
    Canada,"2,018","40,771",Students,,,,,
    Canada,"2,018","32,757",Retired,,,,,
    Canada,"2,018",90,Others,,,,,
    Canada,"2,018",29,Not stated,,,,,
USA,"2,018","1,096,177",Total,,,,,
USA,"2,018","329,724",Professional,,,,,
USA,"2,018","109,111",Administrative and managerial,,,,,
USA,"2,018","100,207",Commercial personal and clerical,,,,,
USA,"2,018","246,949",Labourers production and service workers,,,,,
USA,"2,018","2,065",Agricultural workers,,,,,
USA,"2,018","7,841",Government,,,,,
USA,"2,018","19,304",House wife,,,,,
USA,"2,018","164,616",Students,,,,,
USA,"2,018","115,986",Retired,,,,,
USA,"2,018",232,Others,,,,,
USA,"2,018",142,Not stated,,,,,
    Others in America,"2,018","84,478",Total,,,,,
    Others in America,"2,018","32,847",Professional,,,,,
    Others in America,"2,018","7,289",Administrative and managerial,,,,,
    Others in America,"2,018","7,779",Commercial personal and clerical,,,,,
    Others in America,"2,018","19,277",Labourers production and service workers,,,,,
    Others in America,"2,018",103,Agricultural workers,,,,,
    Others in America,"2,018",464,Government,,,,,
    Others in America,"2,018","1,695",House wife,,,,,
    Others in America,"2,018","12,338",Students,,,,,
    Others in America,"2,018","2,632",Retired,,,,,
    Others in America,"2,018",51,Others,,,,,
    Others in America,"2,018",3,Not stated,,,,,
    Bangladesh,"2,018","125,809",Total,,,,,
    Bangladesh,"2,018","9,578",Professional,,,,,
    Bangladesh,"2,018","2,182",Administrative and managerial,,,,,
    Bangladesh,"2,018","36,012",Commercial personal and clerical,,,,,
    Bangladesh,"2,018","30,858",Labourers production and service workers,,,,,
    Bangladesh,"2,018",6,Agricultural workers,,,,,
    Bangladesh,"2,018","2,161",Government,,,,,
    Bangladesh,"2,018","19,017",House wife,,,,,
    Bangladesh,"2,018","24,861",Students,,,,,
    Bangladesh,"2,018","1,131",Retired,,,,,
    Bangladesh,"2,018", - ,Others,,,,,
    Bangladesh,"2,018",3,Not stated,,,,,
    India,"2,018","1,562,878",Total,,,,,
    India,"2,018","192,978",Professional,,,,,
    India,"2,018","51,517",Administrative and managerial,,,,,
    India,"2,018","519,376",Commercial personal and clerical,,,,,
    India,"2,018","407,860",Labourers production and service workers,,,,,
    India,"2,018","5,416",Agricultural workers,,,,,
    India,"2,018","5,881",Government,,,,,
    India,"2,018","143,766",House wife,,,,,
    India,"2,018","204,023",Students,,,,,
    India,"2,018","31,918",Retired,,,,,
    India,"2,018",43,Others,,,,,
    India,"2,018",100,Not stated,,,,,
    Nepal,"2,018","55,482",Total,,,,,
    Nepal,"2,018","7,217",Professional,,,,,
    Nepal,"2,018","2,541",Administrative and managerial,,,,,
    Nepal,"2,018","16,962",Commercial personal and clerical,,,,,
    Nepal,"2,018","13,874",Labourers production and service workers,,,,,
    Nepal,"2,018",200,Agricultural workers,,,,,
    Nepal,"2,018","1,079",Government,,,,,
    Nepal,"2,018","3,256",House wife,,,,,
    Nepal,"2,018","9,586",Students,,,,,
    Nepal,"2,018",724,Retired,,,,,
    Nepal,"2,018",41,Others,,,,,
    Nepal,"2,018",2,Not stated,,,,,
    Pakistan,"2,018","78,256",Total,,,,,
    Pakistan,"2,018","11,431",Professional,,,,,
    Pakistan,"2,018","5,257",Administrative and managerial,,,,,
    Pakistan,"2,018","22,435",Commercial personal and clerical,,,,,
    Pakistan,"2,018","16,470",Labourers production and service workers,,,,,
    Pakistan,"2,018",109,Agricultural workers,,,,,
    Pakistan,"2,018",577,Government,,,,,
    Pakistan,"2,018","8,327",House wife,,,,,
    Pakistan,"2,018","12,825",Students,,,,,
    Pakistan,"2,018",818,Retired,,,,,
    Pakistan,"2,018",2,Others,,,,,
    Pakistan,"2,018",5,Not stated,,,,,
    Sri Lanka,"2,018","62,697",Total,,,,,
    Sri Lanka,"2,018","15,294",Professional,,,,,
    Sri Lanka,"2,018","7,485",Administrative and managerial,,,,,
    Sri Lanka,"2,018","14,335",Commercial personal and clerical,,,,,
    Sri Lanka,"2,018","11,058",Labourers production and service workers,,,,,
    Sri Lanka,"2,018",49,Agricultural workers,,,,,
    Sri Lanka,"2,018",141,Government,,,,,
    Sri Lanka,"2,018","2,595",House wife,,,,,
    Sri Lanka,"2,018","9,482",Students,,,,,
    Sri Lanka,"2,018","2,255",Retired,,,,,
    Sri Lanka,"2,018", - ,Others,,,,,
    Sri Lanka,"2,018",3,Not stated,,,,,
    Others in Asia,"2,018","50,761",Total,,,,,
    Others in Asia,"2,018","7,960",Professional,,,,,
    Others in Asia,"2,018","3,229",Administrative and managerial,,,,,
    Others in Asia,"2,018","7,915",Commercial personal and clerical,,,,,
